                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.1889,                0.48659,                0.98688,                0.99958,                0.99828,                  0.995,                0.60788,                 1.5168,                0.46152,                 1.3483,               0.007063,               0.007063,               0.007063
                     91,                  1.188,                0.48554,                0.98887,                0.99818,                0.99656,                0.99452,                  0.596,                 1.5465,                 0.4603,                  1.375,                0.00703,                0.00703,                0.00703
                     92,                 1.1815,                  0.478,                0.99975,                0.99631,                0.99484,                0.99457,                0.58974,                 1.5348,                0.46722,                 1.3619,               0.006997,               0.006997,               0.006997
                     93,                 1.1877,                0.48713,                0.98747,                      1,                0.99817,                  0.995,                0.58786,                 1.5852,                0.47524,                 1.4075,               0.006964,               0.006964,               0.006964
                     94,                 1.1836,                0.48167,                0.99031,                0.99484,                 0.9948,                0.99434,                 0.5893,                  1.558,                0.46046,                 1.3735,               0.006931,               0.006931,               0.006931
                     95,                 1.1891,                0.47709,                0.99789,                0.99469,                0.99484,                0.99387,                0.59731,                 1.5406,                0.46362,                 1.3656,               0.006898,               0.006898,               0.006898
                     96,                 1.1673,                0.47549,                0.98832,                0.99457,                0.99312,                0.99429,                0.59083,                 1.5767,                0.47015,                 1.4224,               0.006865,               0.006865,               0.006865
                     97,                 1.1627,                0.47769,                0.98856,                0.99683,                0.99656,                0.99493,                0.60021,                 1.5247,                 0.4555,                 1.3677,               0.006832,               0.006832,               0.006832
                     98,                 1.1769,                0.47862,                0.98892,                0.99918,                0.99828,                  0.995,                0.59089,                  1.547,                0.47378,                 1.3839,               0.006799,               0.006799,               0.006799
                     99,                 1.1827,                 0.4859,                0.99259,                0.99639,                0.99484,                0.99458,                0.59965,                 1.5641,                0.46302,                 1.3952,               0.006766,               0.006766,               0.006766
                    100,                 1.1611,                0.47562,                0.98224,                 0.9925,                0.99312,                0.99439,                0.58936,                 1.5878,                0.47248,                 1.4137,               0.006733,               0.006733,               0.006733
                    101,                 1.1544,                0.47265,                0.97594,                0.99629,                0.99656,                0.99459,                0.59302,                 1.5565,                0.46124,                 1.3849,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.1728,                0.47849,                0.98409,                0.99442,                0.99484,                0.99348,                0.59784,                 1.5774,                0.47206,                 1.3996,               0.006667,               0.006667,               0.006667
                    103,                 1.1672,                0.47535,                0.98711,                      1,                 0.9981,                  0.995,                0.60026,                 1.5665,                 0.4624,                 1.3957,               0.006634,               0.006634,               0.006634
                    104,                 1.1604,                0.47137,                0.98119,                0.99811,                0.99656,                0.99498,                0.59447,                 1.5269,                0.46742,                 1.3735,               0.006601,               0.006601,               0.006601
                    105,                 1.1415,                0.46239,                0.97829,                0.99461,                0.99484,                 0.9945,                0.59953,                 1.5395,                 0.4557,                 1.3887,               0.006568,               0.006568,               0.006568
                    106,                 1.1425,                0.46526,                0.97747,                0.99802,                0.99484,                0.99491,                0.58599,                 1.5607,                0.46655,                 1.3965,               0.006535,               0.006535,               0.006535
                    107,                 1.1404,                0.46682,                0.98012,                0.99588,                0.99139,                0.99272,                0.58641,                 1.5545,                0.46861,                  1.412,               0.006502,               0.006502,               0.006502
